#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
西德尼·夏皮罗	Sidney Shapiro
佐敦·史賓斯	Jordan Spence
迭戈·阿尔维斯	Diego Alves
特里·威廉士	Terrence Williams
泰伦斯·威廉姆斯	Terrence Williams
瑞蒙·卡佛	Raymond Carver
巴力·买买提	Bari Mamatil
乌拉那拉·阿巴亥	Lady Abahai
菲力普·鮑赫勒	Philipp Bouhler
朱迪斯·霍伯斯坦	Judith Halberstam
汤姆·曼寧	Tom Manning
普巴·塔西	Phurba Tashi
丽兹·雪曼	Liz Sherman
劳勃·雷恩	Robert Ryan
法蒂赫·特里姆	Fatih Terim
爱新觉罗·奕誴	Yicong
爱新觉罗·舒爾哈齊	Šurhaci
爱新觉罗·奕經	Yijing (prince)
爱新觉罗·弘時	Hongshi
爱新觉罗·福滿	Fuman
爱新觉罗·褚英	Cuyen
阿卜杜勒-阿齐兹·本·阿卜杜-拉赫曼·本·费萨尔·阿勒沙特	Ibn Saud
阿卜杜勒-阿齐兹·本·阿卜杜-拉赫曼·本·费萨尔·沙特	Ibn Saud
阿卜杜拉·本·阿卜杜勒-阿齐兹·沙特	Abdullah of Saudi Arabia
阿米尔·沙菲亚	Amer Shafia
阿道夫·格蘭特	Adolf Galland
尊立顿·麥亞斯	Jonathan Rhys Meyers
古莉·查夏	Gurinder Chadha
顾伦德·查达哈	Gurinder Chadha
古林德·乍得哈	Gurinder Chadha
何塞·法比奥·阿尔维斯·阿塞维多	Fabão
李安度·杜明基斯·巴保沙	Leandro Domingues
亚当·扎加耶夫斯基	Adam Zagajewski
贝拉·阿赫玛杜琳娜	Bella Akhmadulina
杰佛瑞·尤金尼德斯	Jeffrey Eugenides
戴维·林肯·拉比诺维茨	David L. Rabinowitz
戴维·林肯·拉比諾維茨	David L. Rabinowitz
大卫·拉比诺维茨	David L. Rabinowitz
戴维·拉比諾維茨	David L. Rabinowitz
阿巴杜·卡迪尔·汗	Abdul Qadeer Khan
米哈伊尔·西蒙诺夫	Mikhail Simonov
亨利·爱德华·曼宁	Henry Edward Manning
约拿单·亞腓斯	Jonathan Apphus
亚历山大·舍基维奇·雅科夫列夫	Alexander Sergeyevich Yakovlev
莱昂纳多·亨里克斯·达·席尔瓦	Leonardo Henriques da Silva
米切尔·利希滕斯坦	Mitchell Lichtenstein
米曹·李真斯丹	Mitchell Lichtenstein
米切尔·利奇坦斯坦	Mitchell Lichtenstein
里卡多·乔治·费雷拉·平托·达·席尔瓦	Ricardo Jorge Ferreira Pinto da Silva
里卡多·席尔瓦	Ricardo Jorge Ferreira Pinto da Silva
托马斯·奥拉维茨	Tomáš Oravec
加士帕·卡帕諾裡	Kaspar Capparoni
苏珊娜·比安凱蒂	Suzanne Bianchetti
苏珊娜·比耶香提	Suzanne Bianchetti
伊夫·布雷歇	Yves Bréchet
詹姆斯·柯麥隆	James Cameron
佩柯斯·比爾	Pecos Bill
巴利·班倫	Barry Bannan
沙维亚·靴南迪斯	Xavi
沙维·靴南迪斯	Xavi
巴里·班南	Barry Bannan
罗柏特·布魯斯·班納	Hulk (comics)
赫里特·里特费尔德	Gerrit Rietveld
罗素·馬丁	Russell Martin
莱斯利·瓦利安特	Leslie Valiant
马丁·路德·金恩博士圖書館	Dr. Martin Luther King, Jr. Library
阿列克谢·斯达汉诺夫	Alexey Stakhanov
安妮·海瑟薇	Anne Hathaway (disambiguation)
安·海瑟薇(女演员)	Anne Hathaway
安妮·夏菲維(女演员)	Anne Hathaway
安妮·海瑟薇(女演员)	Anne Hathaway
乌维·席勒	Uwe Seeler
雷纳托·卡贾	Renato Cajá
朱马特·哈吉·亚当	Jumaat Haji Adam
J·H·亚当	Jumaat Haji Adam
克里斯托弗·C·威尔科克	C. C. Wilcock
C·C·威尔科克	C. C. Wilcock
RainerMariaLatzke海纳·马里亚·莱茨克/temp	Rainer_Maria_Latzke
莱斯利·瓦伦特	Leslie Valiant
占士·摩利遜	James Morrison (footballer)
珍娜·沃爾斯	Jeannette Walls
查尔斯·克拉克	Charles Clarke
雷纳托·阿德里亚诺·加科·莫莱斯	Renato Cajá
何塞·本科	Jože Benko
杰森·韋德	Jason Wade
艾蜜莉·莫特	Emily Mortimer
博格丹·克米尔尼茨基	Bohdan Khmelnytsky
阿曼西奥·奥尔特加	Amancio Ortega Gaona
伯特伦·伊夫林·斯迈西斯	Bertram E. Smythies
阿里斯·菲利普斯	Aristoteles Philippidis
安西娅·飞利浦	Anthea Phillipps
安东尼·兰姆	Anthony Lamb
卡洛·马代尔诺	Carlo Maderno
阿卜德·哈迪·伊拉基	Abdul Hadi al Iraqi
加里·吉盖克斯	Gary Gygax
乔治·克列蒙梭	Georges Clemenceau
维塔利·卡罗耶夫	Vitaly Kaloyev
马修·杰布	Matthew Jebb
马丁·奇克	Martin Cheek
克里斯提安·富勒	Christian Führer
卡罗·鲁比亚	Carlo Rubbia
埃里克·米约贝里	Eric Mjöberg
玛莲·法莫	Mylène Farmer
纳森·贝克	Nathan Baker (footballer)
李察·加菲	Richard Garfield
内夫塔利·費利茲	Neftalí Feliz
西伦·克拉克	Ciaran Clark
安德烈·巴厚	André Bareau
艾兹格·迪杰斯特拉	Edsger W. Dijkstra
勒内·笛卡尔	René Descartes
拉斐尔·納達爾生涯統計	Rafael Nadal career statistics
保罗·范霍文	Paul Verhoeven
雅各·阿民念	Jacobus Arminius
舍伍德·安德森	Sherwood Anderson
洛塔尔·伦杜利奇	Lothar Rendulic
格里高利·波将金	Grigory Potemkin
尼克尔·奧里斯姆	Nicole Oresme
杰夫·拉斯金	Jef Raskin
莱斯特·杨	Lester Young
伯纳德·劉易斯	Bernard Lewis
约翰·穆斯	John Muth
阿尔乔姆·奥夫查连科	Artem Ovcharenko
北京奔驰-戴姆勒·克莱斯勒汽车	Beijing Benz
弗莱德·霍伊尔	Fred Hoyle
格雷戈里·B·贾茨科	Gregory Jaczko
戴夫·海厄特	Dave Hyatt
恩佐·希福	Enzo Scifo
比尔·怀曼	Bill Wyman
泰欧·克鲁斯	Taio Cruz
泰欧·克魯斯	Taio Cruz
乔纳森·理贝斯曼	Jonathan Liebesman
玛洛丽特·桑格	Margaret Sanger
奈特·道格	Nate Dogg
珍·格蕾	Lady Jane Grey
杰夫·羅斯金	Jef Raskin
格利哥里·普譚金	Grigory Potemkin
李斯特·楊	Lester Young
科兰·戴·布兰西	Collin de Plancy
麦可·高福	Michael Gough
马德琳·歐布萊特	Madeleine Albright
恭差拉·沃拉威七猜恭	Kunchala Voravichitchaikul
丹尼尔·德菲	Daniel Defert
皮特·弗朗西休斯·迪尔克斯	Pieter Franciscus Dierckx
爱新觉罗·恒煦	Jin Guangping
赫伯特·科格	Herbert Kegel
谢苗·米哈伊洛維奇·布瓊尼	Semyon Budyonny
亚历山大·米哈伊洛維奇·華西列夫斯基	Aleksandr Vasilevsky
伊万·斯捷潘諾維奇·科涅夫	Ivan Konev
路易斯·哈罗德·戈瑞	Louis Harold Gray
罗尔斯·羅伊斯	Rolls-Royce_Motor_Cars
罗尔夫·馬克西米利安·希沃特	Rolf Maximilian Sievert
凯拉·狄奧果笛製作音樂作品列表	Kara DioGuardi discography
曼努埃尔·申克赫伊岑	Manuel Schenkhuizen
弗兰茨·威廉·容洪	Franz Wilhelm Junghuhn
莱斯特·比·皮尔逊委员会	Lester B. Pearson School Board
当甲农·阿伦革颂	Duanganong Aroonkesorn
莎拉姬·波萨娜	Salakjit Ponsana
莎拉姬·波薩娜	Salakjit Ponsana
文萨·波萨那	Boonsak Ponsana
贝内迪克图斯·胡贝图斯·丹瑟	B. H. Danser
B·H·丹瑟	B. H. Danser
迈克尔·高夫	Michael Gough
约阿希姆·那兹	Joachim Nerz
安德烈亚斯·维斯图巴	Andreas Wistuba
穆罕默德·那不斯	Mohammed Nabbous
迪奥曼西·卡马拉	Diomansy Kamara
莎拉丽·桑松卡姆	Saralee Thungthongkam
戍革·普拉帕卡莫	Sudket Prapakamol
梅利亚娜·乔哈里	Meiliana Jauhari
格雷西娅·波利	Greysia Polii
阿德里安蒂·菲尔达萨里	Adriyanti Firdasari
西恩·帕克	Sean Parker
博尼·亚伊	Yayi Boni
彼得·威廉·科萨尔	Pieter Willem Korthals
西蒙·桑托索	Simon Santoso
阿布都热依穆·乌提库尔	Abdurehim Ötkür
罗伯特·富尔顿	Robert Fulton
诺思罗普·格鲁曼纽波特纽斯造船厂	Northrop Grumman Shipbuilding Newport News
斯图尔特·麦克弗森	Stewart McPherson (geographer)
克里斯多弗·息金斯	Christopher Hitchens
皮耶·皮維斯·德·夏凡纳	Pierre Puvis de Chavannes
尚-皮耶·梅爾維爾	Jean-Pierre Melville
尚-多明尼克·鮑比	Jean-Dominique Bauby
尚-比埃·里奧	Jean-Pierre Léaud
尚·鮑欣	Jean Bauhin
尚·維果	Jean Vigo
帕斯托·马尔多纳多	Pastor Maldonado
齐亚德·法扎赫	Ziad Fazah
安娜·路易丝·斯特朗	Anna Louise Strong
阿图尔·德·格里夫	Arthur De Greef
杰克·韦尔奇	Jack Welch
约翰·米尔诺	John Milnor
爱默·布朗博士	Emmett Brown
阿拉斯泰尔·罗宾逊	Alastair Robinson
伊莉莎白·泰勒	Elizabeth Taylor
大卫·科波菲尔	David Copperfield (disambiguation)
大卫·考柏菲	David Copperfield (disambiguation)
阿尔文特·尤利安托·钱德拉	Alvent Yulianto
阿尔文特·尤利安托	Alvent Yulianto
约翰·缪尔黑德·麦克法兰	John Muirhead Macfarlane
安德鲁·林肯	Andrew Lincoln
菲利比·馬沙	Felipe Massa
穆罕默德·阿赫桑	Muhammad Ahsan
加拉尔丁·费拉罗	Geraldine Ferraro
艾萨克·多伊彻	Isaac Deutscher
华尔兹·玛狄尔达	Waltzing Matilda
阿兰达蒂·羅伊	Arundhati Roy
阿兰达蒂·洛伊	Arundhati Roy
朱塞佩·托纳多雷	Giuseppe Tornatore
简·里斯	Jean Rhys
阿列克斯·麦卡锡	Alex McCarthy
珍·瑞絲	Jean Rhys
琼·李絲	Jean Rhys
莱茵哈特·舍爾	Reinhard Scheer
保罗·巴蘭	Paul Baran
保罗·巴兰	Paul Baran
杨·维梅尔	Johannes Vermeer
哈罗德·巴洛	Harold Barlow
吉约姆·克利顿	William Clito
詹尼斯·扎乌尔	Janez Zavrl (footballer)
牙买加·金凱德	Jamaica Kincaid
弗朗西丝·伍德·夏默	Frances Shimer
亨利·夏默	Henry Shimer
弗朗西丝·伍德·诗默	Frances Shimer
布莱恩·瓊斯	Brian Jones
雨果·根斯巴克	Hugo Gernsback
富尔顿·申	Fulton J. Sheen
克劳德·尼科里埃尔	Claude Nicollier
富尔顿·約翰·申	Fulton J. Sheen
法朗西斯·诗默	Frances Shimer
加布里埃尔·香奈儿	Coco Chanel
强格·費特	Jango Fett
莫里茨·盖格	Moritz Geiger
穆萨·库萨	Moussa Koussa
玛格丽特·博福特	Margaret Beaufort, Countess of Richmond and Derby
亚历山达罗·孟佐尼	Alessandro Manzoni
罗伯特·里特爾·馮·格莱姆	Robert Ritter von Greim
乌代·曹帕拉	Uday Chopra
珍妮花·鍾絲	Jennifer Jones
圣地亚哥·德·智利	Santiago
多明尼克·德維勒班	Dominique de Villepin
塞格琳·賀雅爾	Ségolène Royal
DS真·三國無雙	Dynasty Warriors DS: Fighter's Battle
伊凡·亞歷山大	Ivan Alexander of Bulgaria
皮埃尔·列巴斯基	Pierre Littbarski
奥泽洛夫·魯緬採夫行動	Operation Polkovodets Rumyantsev
米歇尔·馬爾泰利	Michel Martelly
贝尔纳·庫希內	Bernard Kouchner
乔里斯·范豪森	Joris Van Hauthem
汉斯·鲁德尔	Hans-Ulrich Rudel
犹大·福克曼	Judah Folkman
罗伯特·温伯格	Robert Weinberg
古斯塔夫·杜達美	Gustavo Dudamel
吉米·多纳尔·威尔斯	Jimmy Wales
吉米·威尔斯	Jimmy Wales
尼尔·埃德利	Neal Eardley
弗朗西斯科·馬德羅	Francisco I. Madero
欣塔·穆利亚·萨里	Shinta Mulia Sari
爱新觉罗·毓喦	Yuyan
卢卡斯·范·莱顿	Lucas van Leyden
赛义夫·伊斯拉姆·格達費	Saif al-Islam Gaddafi
菲利普·弗朗茲·馮·西博尔德	Philipp Franz von Siebold
菲利普·弗兰茨·冯·西博尔德	Philipp Franz von Siebold
亚萨·格雷	Asa Gray
阿尔伯特·查里·史密斯	Albert Charles Smith
克劳德·德彪西	Claude Debussy
克劳德·莫內	Claude Monet
阿希·理查	Achille Richard
路易·克劳德·理查	Louis Claude Richard
乔治·奥古斯特·施魏因富特	Georg August Schweinfurth
伊格纳茨·冯·塞塞洛维奇	Ignaz von Szyszyłowicz
法兰兹·寶拉·馮·施兰克	Franz von Paula Schrank
弗兰兹·馮·保拉·施兰克	Franz von Paula Schrank
理查·安东尼·萨里斯伯里	Richard Anthony Salisbury
路德维希·阿道夫·蒂莫托伊斯·拉德尔科佛	Ludwig Adolph Timotheus Radlkofer
康斯坦丁·萨缪尔·拉方斯克-舒马茨	Constantine Samuel Rafinesque
卡尔·弗里德里希·雷切	Karl Friedrich Reiche
卡尔·尤利乌斯·佩尔勒贝	Karl Julius Perleb
卡尔·安东·尤金·普兰托	Karl Anton Eugen Prantl
弗朗茨·约瑟夫·尼登楚	Franz Josef Niedenzu
卡尔·冯·马修斯	Carl Friedrich Philipp von Martius
阿希巴尔德·明斯	Archibald Menzies
夏尔-弗朗索瓦·布里索·米尔贝尔	Charles-François Brisseau de Mirbel
让-巴普蒂斯特·拉马克	Jean-Baptiste Lamarck
尼古拉斯·约瑟夫·冯·雅克恩	Nikolaus Joseph von Jacquin
让·斯瓦陶普路克·普雷索	Jan Svatopluk Presl
扬·斯瓦托普卢克·普雷索	Jan Svatopluk Presl
安东尼·劳伦·德·朱西厄	Antoine Laurent de Jussieu
弗里德里希·戈特利布·巴特林格	Friedrich Gottlieb Bartling
奥古斯特·巴舒	August Batsch
卡尔·路德维格·布卢姆	Carl Ludwig Blume
卡尔·路德维希·冯·布卢姆	Carl Ludwig Blume
路易·埃德加·比罗	Louis Édouard Bureau
埃利-阿贝尔·卡里埃	Élie-Abel Carrière
路德维格·丹尼尔	Ludwig Diels
巴托罗缪·夏爾·約瑟·杜莫蒂尔	Barthélemy Charles Joseph Dumortier
巴泰勒米·夏爾·約瑟·杜莫蒂尔	Barthélemy Charles Joseph Dumortier
史蒂芬·恩德利希	Stephan Endlicher
丽莲·苏赞特·吉伯斯	Lilian Gibbs
奥古斯特·格里塞巴赫	August Grisebach
雨果·贡克尔	Hugo Gunckel Lüer
乌戈·冈克尔	Hugo Gunckel Lüer
腓利·冯·泰根	Philippe Édouard Léon Van Tieghem
加斯巴尔·戴米斯陶克·莱斯蒂布特瓦	Gaspard Thémistocle Lestiboudois
夏尔·库赞-蒙托邦(八里桥伯爵)	Charles Cousin-Montauban, Comte de Palikao
狄奥尼修斯·哈永·伦巴卡	Dionysius Hayom Rumbaka
通托维·艾哈迈德	Tontowi Ahmad
瑞贝卡·布莱克	Rebecca Black
巴鲁克·塞缪尔·布林伯格	Baruch Samuel Blumberg
Friday(瑞贝卡·布莱克)	Friday (Rebecca Black song)
斯坦娜·卡蒂克	Stana Katic
希拉蕊·羅得漢·柯林頓	Hillary Rodham Clinton
蒂莫西·高爾斯	Timothy Gowers
维克多·瓦斯涅佐夫	Viktor Vasnetsov
阿尔弗雷多·奥斯卡·圣-让	Alfredo Oscar Saint Jean
阿尔弗雷多·奥斯卡·圣琼	Alfredo Oscar Saint Jean
比雅尼·史特劳斯特鲁普	Bjarne Stroustrup
比雅尼·斯特勞斯特魯普	Bjarne Stroustrup
比雅尼·史特勞斯特魯普	Bjarne Stroustrup
葛瑞森·柴斯	Greyson Chance
安东·拉维	Anton LaVey
詹姆斯·利尔蒙斯·高万斯	James Learmonth Gowans
何塞·马蒂	José Martí
腓力·汪·蒂耶玛	Philippe Édouard Léon Van Tieghem
腓力·范蒂耶玛	Philippe Édouard Léon Van Tieghem
希薇亚·普拉絲	Sylvia Plath
让·亨利·乔玛·圣-伊莱尔	Jean Henri Jaume Saint-Hilaire
埃迪昂·皮耶尔·旺当纳	Étienne Pierre Ventenat
毛瑞特斯·柯奈利斯·艾雪	M. C. Escher
科内利斯·恩赫布雷赫茨	Cornelis Engebrechtsz.
希罗尼穆斯·波希	Hieronymus Bosch
史提芬·費亞	Stephen Fry
安德里斯·永克尔	Andries Jonker
德隆特·韋斯特	Delonte West
威廉·莫利紐茲	William Molyneux
梅斯·温度	Mace Windu
巴鲁克·布伦博格	Baruch Samuel Blumberg
卡洛儿·撒切尔	Carol Thatcher
尼古拉斯·墨卡托	Nicholas Mercator
阿蒂费特·亞希雅加	Atifete Jahjaga
凯萨·波吉耳	Cesare Borgia
韦斯·荷拉汉	Wes Hoolahan
肖尔·舒瓦泽尔	Charl Schwartzel
穆罕默德-禮萨·拉希米	Mohammad-Reza Rahimi
穆拉德·库雷希	Murad Qureshi
德里克·羅斯	Derrick Rose
乔治·華盛頓·卡佛	George Washington Carver
科内里斯·恩赫布莱西茨	Cornelis Engebrechtsz.
莫里兹·科内里斯·埃舍尔	M. C. Escher
莫里兹·科内利斯·埃舍尔	M. C. Escher
安东尼·凡·戴克	Anthony van Dyck
迪亚哥·委拉斯蓋茲	Diego Velázquez
罗吉尔·凡·德尔·韦登	Rogier van der Weyden
勒内·馬格利特	René Magritte
埃马纽埃尔·德拉克·德尔·卡斯蒂洛	Emmanuel Drake del Castillo
埃斯凡迪亚尔·拉希姆·馬沙	Esfandiar Rahim Mashaei
伊利-阿贝尔·卡里埃尔	Élie-Abel Carrière
彼得·福斯卡尔	Peter Forsskål
弗拉迪米尔·弗拉迪米羅維奇·蒲亭	Vladimir Putin
西德尼·吕美特	Sidney Lumet
厄内斯特·亨利·威尔逊	Ernest Henry Wilson
马蒂亚斯·許萊登	Matthias Jakob Schleiden
马蒂亚斯·雅各布·施莱登	Matthias Jakob Schleiden
格里特·S·米勒	Gerrit Smith Miller
爱新觉罗·毓嵒	Yuyan
肖恩·帕克	Sean Parker
赛勒斯·弗里施	Cyrus Frisch
约翰·霍普金斯医院	Johns Hopkins Hospital
约翰·霍普金斯	Johns Hopkins
约翰斯·霍普金斯	Johns Hopkins
约翰·安德魯·貝納	John Boehner
詹姆斯·爱德华	James Francis Edward Stuart
芙兰朵露·斯卡蕾特	The Embodiment of Scarlet Devil
弗朗西丝·布兰登	Frances Grey, Duchess of Suffolk
蕾米莉亚·斯卡蕾特	The Embodiment of Scarlet Devil
马丁·庫珀	Martin Cooper (inventor)
约瑟夫·拉莫尔	Joseph Larmor
阿不拉萨·馬份	List of Harry Potter characters
文生·米拉特	Vincent Millot
佩雷·里巴	Pere Riba
阿莱克西斯·桑切斯	Alexis Sánchez
恩里克·卡普瑞里斯·拉东斯基	Henrique Capriles Radonski
阿尔·巴塔尼	Muḥammad ibn Jābir al-Ḥarrānī al-Battānī
列奥波尔德·斯托科夫斯基	Leopold Stokowski
韦斯·摩根	Wes Morgan
帕特里克·肯尼	Paddy Kenny
乔弗雷·乔叟	Geoffrey Chaucer
科比·斯馬得兒	Cobie Smulders
科比·斯马得儿	Cobie Smulders
罗伯特·本特利	Robert J. Bentley
理查·德·拉·波尔	Richard de la Pole
格利高里·波将金	Grigory Potemkin
约翰·萊納	John Lannan
班·强生	Ben Johnson (sprinter)
宾·莊遜	Ben Johnson (sprinter)
本·約翰遜(田径运动员)	Ben Johnson (sprinter)
本杰明·辛克莱尔·约翰逊	Ben Johnson (sprinter)
宾·庄逊	Ben Johnson (sprinter)
本杰明·辛克萊爾·約翰遜	Ben Johnson (sprinter)
埃莉诺·金雀花，第五代里士满女伯爵	Eleanor, Fair Maid of Brittany
亚瑟·金雀花，第四代里士满伯爵	Arthur I, Duke of Brittany
君特·贝克·冯·曼那哥塔-勒驰奈	Günther Beck von Mannagetta und Lerchenau
西奥多·周	Theodore Ts'o
教宗若望·保禄一世	Pope John Paul I
依芙琳·葛蘭妮	Evelyn Glennie
巴斯特·波西	Buster Posey
巴勃罗·桑多瓦爾	Pablo Sandoval
苏珊·道尼	Susan Downey
查尔斯·庫希烏斯	Carolus Clusius
霍勒斯-本笃·索绪尔	Horace-Bénédict de Saussure
约翰尼斯·斯塔克	Johannes Stark
约翰尼斯·里德伯	Johannes Rydberg
约翰尼斯·迪德里克·范·德·瓦耳斯	Johannes Diderik van der Waals
金特·贝克·冯·曼那哥塔·翁德·勒驰奈	Günther Beck von Mannagetta und Lerchenau
约翰·格奥尔格·亚当·福斯特	Georg Forster
弗朗茨·威廉·容洪	Franz Wilhelm Junghuhn
克里斯琴·多普勒	Christian Doppler
克里斯琴·坎特韦尔	Christian Cantwell
克里斯琴·B·安芬森	Christian B. Anfinsen
克里斯琴·赫脱	Christian Herter
弗朗兹·邁恩	Franz Meyen
德鲁·史托倫	Drew Storen
格奥尔格·威尔海姆·斯特拉	Georg Wilhelm Steller
席奥多·O·迪納	Theodor Otto Diener
克劳德·約瑟夫·日夫魯瓦	Claude Joseph Geoffroy
格奥尔格·弗雷德里克·哈斯	Georg Friedrich Haas
克堤斯·埃貝斯邁爾	Curtis Ebbesmeyer
奥托·馮·貝洛	Otto von Below
凯瑟琳·格雷	Lady Catherine Grey
凯瑟琳·格雷郡主	Lady Catherine Grey
埃贡·克伦茨	Egon Krenz
彼得·奧丹維治	Peter Odemwingie
弗朗西斯·布兰登	Frances Grey, Duchess of Suffolk
凯瑟琳·罗伊特	Katherine Reutter
玛丽安尼·桑特-克莱	Marianne St-Gelais
卡琳娜·罗白日	Kalyna Roberge
阿卜杜·卡林·阿卜杜拉·阿拉斯	Abdul Karim Abdullah al-Arashi
大卫·貝爾	David Belle
大卫·贝尔	David Belle
大卫·贝利	David Belle
大卫·貝利	David Belle
艾哈迈德·侯赛因·加什米	Ahmad al-Ghashmi
亨利·費堯	Henri Fayol
钮祜禄·遏必隆	Ebilun
弗朗索瓦-路易·特兰姆雷	François-Louis Tremblay
查理·哈梅林	Charles Hamelin
穆罕默德·哈菲兹·宾·哈希姆	Muhammad Hafiz Hashim
杰·亚·塞斯基	J. R. Celski
里欧·梅拉梅德	Leo Melamed
妮娜·杜波夫	Nina Dobrev
布莱姆·米勒	Bram Moolenaar
实谛·賽·巴巴	Sathya Sai Baba
沙迪亚·賽巴巴	Sathya Sai Baba
赛·巴巴	Sathya Sai Baba
大卫·禾根	David Vaughan (footballer)
基夫·修夫恩	Keith Southern
雨果·德弗里斯	Hugo de Vries
玛丽·格雷	Lady Mary Grey
柯达伊·佐爾坦	Zoltán Kodály
格里哥·孟德尔	Gregor Mendel
查理斯·萊爾	Charles Lyell
悉尼·布伦纳	Sydney Brenner
特奥多修斯·多布然斯基	Theodosius Dobzhansky
恩斯特·麥爾	Ernst Mayr
乔治-路易·勒克萊爾·德·布封	Georges-Louis Leclerc, Comte de Buffon
阿弗雷德·羅素·華萊士	Alfred Russel Wallace
弗里德里希·威廉·海因里希·亚历山大·冯·洪堡	Alexander von Humboldt
玛丽·格雷女勳爵	Lady Mary Grey
弗兰克·勞埃德·萊特	Frank Lloyd Wright
法兰西斯·萊特	Francis Light
弗朗西斯·賴特	Francis Light
舍地·賽·巴巴	Sai Baba of Shirdi
查得·維達：日班經理	Chad Vader: Day Shift Manager
阿莉安娜·方塔娜	Arianna Fontana
加里·泰勒-弗莱切	Gary Taylor-Fletcher
奥利弗·让	Olivier Jean
弗朗索瓦·哈梅林	François Hamelin
西蒙·赵	Simon Cho
大卫·萊特	David Wright (baseball)
杰夫·西蒙	Jeff Simon
佛兰斯·哈尔斯	Frans Hals
希尔地·赛·峇峇	Sai Baba of Shirdi
大卫·查德威克	David Chadwick (writer)
阿里·蒂凡达维	Ali Divandari
约翰·贝勒特	John Gifford Bellett
崔·颂	Trey Songz
米占·宰纳·阿比丁	Mizan Zainal Abidin of Terengganu
路易斯·温莎	Lady Louise Windsor
摩西·冈伯格	Moses Gomberg
凯特·米德尔顿	Catherine, Duchess of Cambridge
特里梅因·阿爾登·納文遜	Trey Songz
佩佩·马切纳	Pepe Marchena
摩西·戈姆贝格	Moses Gomberg
马修·基克斯	Matt Gilks
夏拉·史戴爾茲	Shyla Stylez
艾瑞克·艾佛哈德	Erik Everhard
安洁儿·達克	Angel Dark
亚莉塔·歐遜	Aletta Ocean
妮琪·班茲	Nikki Benz
曼努埃尔·奎松	Manuel L. Quezon
安迪·瑟克斯	Andy Serkis
格力·卡夫卡特	Craig Cathcart
史提芬·格尼	Stephen Crainey
凯瑟琳·伊丽莎白·米德尔顿	Catherine, Duchess of Cambridge
凯瑟琳·伊麗莎白·米德爾頓	Catherine, Duchess of Cambridge
赛义夫·阿拉伯·卡扎菲	Saif al-Arab Gaddafi
赛义夫·阿拉伯·格達費	Saif al-Arab Gaddafi
赛义夫·阿拉伯·卡達菲	Saif al-Arab Gaddafi
穆阿迈尔·格達費	Muammar Gaddafi
维克托·穆勒	Victor Muller
摩西·高姆博格	Moses Gomberg
姬蒂·賀芙	Katie Hoff
普拉特·惠特尼加拿大公司	Pratt & Whitney Canada
亚伯拉罕·棣·美弗	Abraham de Moivre
奥萨马·本·拉登之死	Death of Osama bin Laden
奥萨玛·本·拉登之死	Death of Osama bin Laden
米尔翠·貝莉	Mildred Bailey
班尼·古德曼	Benny Goodman
蓬迪·布拉那巴硕	Porntip Buranaprasertsuk
乌萨马·本·拉丹之死	Death of Osama bin Laden
奥萨玛·本·拉登	Osama bin Laden
奥萨马·拉登之死	Death of Osama bin Laden
奥萨玛·宾·拉登之死	Death of Osama bin Laden
乌萨玛·宾·拉登之死	Death of Osama bin Laden
乌萨玛·賓·拉登之死	Death of Osama bin Laden
奥萨玛·賓·拉登之死	Death of Osama bin Laden
约翰内斯·扬松纽斯	Jan Janssonius
马克·塞尔比	Mark Selby
马克·塞爾比	Mark Selby
马希连·国柏	Maximilian Kolbe
雷蒙·高比	Maximilian Kolbe
雷蒙·国柏	Maximilian Kolbe
马希连·高比	Maximilian Kolbe
乌萨马·本·拉丹	Osama bin Laden
伊丽莎白·梅伊	Elizabeth May
安妮·斯坦利，卡斯尔哈文伯爵夫人	Anne Stanley, Countess of Castlehaven
阿涅斯·瓦尔达	Agnès Varda
上帝(约翰·列侬歌曲)	God (John Lennon song)
扬-奥克·荣松	Jan-Åke Jonsson
阿尔伯特·本杰明·普雷斯科特	Albert Benjamin Prescott
阿尔伯特·普雷斯科特	Albert Benjamin Prescott
马赛地·賓士	Mercedes-Benz
荷西·瓦爾韋德	José Valverde
亚历山大·贝叶尔	Alexander Beyer
丹尼尔·惠特比	Daniel Whitby
雅克·德·莫莱	Jacques de Molay
沃纳·以马利·巴赫曼	Werner Emmanuel Bachmann
占士·溫	James Wan
马菲·菲臘·希夫	Matt Heath
莱恩·麥德森	Ryan Madson
谢美伊·保羅·A·碧福特	Jermaine Beckford
玛尼蓬·宗集	Maneepong Jongjit
博丁·伊沙拉	Bodin Isara
拉差诺·因达农	Ratchanok Inthanon
约翰·莱瑟姆(鸟类学家)	John Latham (ornithologist)
艾芙金妮亚·拉达诺娃	Evgenia Radanova
克劳德·喬勒斯	Claude Choules
亨利·本尼迪克特·斯图亚特	Henry Benedict Stuart
奥诺雷·弗拉戈纳尔	Honoré Fragonard
扬三世·索别斯基	John III Sobieski
吉姆巴地斯达·巴西耳	Giambattista Basile
詹巴蒂斯塔·巴西莱	Giambattista Basile
罗恩·華盛頓	Ron Washington
克洛德·乔勒斯	Claude Choules
埃萨德·梅库里	Esad Mekuli
杰可·帕斯透瑞斯	Jaco Pastorius
曼纽·阿方索·祖利亞	Manoel Afonso Junior
琼妮·蜜雪兒	Joni Mitchell
